TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
condo,395000,5,1.0,1000,40.7700395,-73.9638872,10021,manhattan,new york county,building,residential
multi-family home,600000,2,2.0,2184,40.8429545,-73.8249591,10465,bronx,bronx county,building,residential
multi-family home,790000,6,3.0,2520,40.6105856,-74.1268175,10314,staten island,richmond county,building,residential
co-op,539000,2,2.0,1100,40.6170731,-74.0383836,11209,brooklyn,fort hamilton,building,residential
house,245000,3,1.0,2184,40.8690109,-73.8564445,10469,bronx,bronx county,building,residential
house,400000,7,3.0,2385,40.8969146,-73.8654984,10470,bronx,bronx county,building,residential
co-op,280000,1,1.0,1000,40.6241766,-74.0216837,11209,brooklyn,bay ridge,building,residential
house,899000,3,2.0,1440,40.5159004,-74.2314825,10309,staten island,richmond county,building,residential
coming soon,649000,4,3.0,2184,40.6813429,-73.9981509,11231,brooklyn,kings county,building,residential
pending,739000,6,4.0,2184,40.5877991,-73.9216187,11229,brooklyn,gerritsen beach,building,residential
house,1495000,4,2.3738608579684373,3000,40.5247627,-74.1681035,10312,staten island,richmond county,building,residential
house,3950000,5,2.0,3528,40.6680619,-73.9748375,11215,brooklyn,kings county,building,residential
townhouse,2695000,6,5.0,4720,40.8235127,-73.9467514,10031,manhattan,new york county,building,residential
pending,4800000,6,2.3738608579684373,3958,40.6178184,-74.0151165,11228,brooklyn,kings county,building,residential
house,694000,3,3.0,1360,40.5423126,-74.1555672,10308,staten island,richmond county,building,residential
house,688888,4,2.0,2846,40.8726182,-73.8651768,10467,bronx,bronx county,building,residential
house,400000,4,2.0,1980,40.665357,-73.8770867,11208,brooklyn,east new york,building,residential
multi-family home,346000,5,2.0,2184,40.6837891,-73.8381042,11417,queens,queens county,building,residential
house,265000,3,1.0,2184,40.67538,-73.7472571,11413,queens,queens county,building,residential
house,319000,3,2.0,1224,40.5604695,-74.1018925,10306,staten island,richmond county,building,residential
house,1100000,9,4.0,3276,40.8307115,-73.9424229,10032,manhattan,new york county,building,residential
multi-family home,309000,6,2.0,2184,40.5980695,-73.7632649,11691,queens,queens county,building,residential
house,650000,3,2.0,1522,40.723245,-73.7293286,11428,queens,queens county,building,residential
house,799000,4,2.0,1975,40.5387812,-74.193378,10312,staten island,richmond county,building,residential
co-op,259000,3,2.0,1089,40.8246371,-73.8072061,10465,bronx,throgs neck,building,residential
house,1195000,4,4.0,2704,40.5143019,-74.2044734,10309,staten island,richmond county,building,residential
condo,189000,2,2.0,966,40.6109595,-74.060351,10305,staten island,staten island,building,residential
condo,759000,3,2.0,1200,40.7881763,-73.7877051,11360,queens,queens,building,residential
house,275000,4,1.0,2184,40.6366859,-73.9488175,11210,brooklyn,kings county,building,residential
house,1249000,3,2.3738608579684373,2184,40.8822913,-73.9137305,10463,bronx,bronx county,building,residential
co-op,69900,2,1.0,700,40.8224987,-73.8111568,10465,bronx,throgs neck,building,residential
multi-family home,1150000,12,6.0,5508,40.755049,-73.9136386,11103,queens,queens county,building,residential
foreclosure,1749900,5,4.0,3740,40.824015,-73.9502067,10031,manhattan,new york county,building,residential
condo,649000,3,2.0,1182,40.7302938,-73.8059248,11365,queens,queens,building,residential
house,499000,5,2.0,1760,40.8663864,-73.8878945,10458,bronx,bronx county,building,residential
multi-family home,1050000,5,4.0,3132,40.8176549,-73.8197053,10465,bronx,bronx county,building,residential
townhouse,5000000,10,9.0,6425,40.7832598,-73.976047,10024,manhattan,new york county,building,residential
pending,90000,1,1.0,660,40.574451,-74.0929448,10306,staten island,richmond county,building,residential
townhouse,650000,3,2.3738608579684373,1638,40.8454501,-73.8209766,10465,bronx,bronx county,building,residential
condo,500000,4,3.0,1794,40.7905714,-73.9753392,10024,manhattan,upper west side,amenity,other
house,350000,2,1.0,490,40.5731273,-74.089182,10306,staten island,richmond county,building,residential
house,1099000,4,2.0,2184,40.5595612,-73.9147409,11697,queens,queens county,building,residential
co-op,90000,1,1.0,450,40.8423705,-73.9234444,10452,bronx,the bronx,building,residential
house,659000,8,3.0,2184,40.688533,-73.796529,11435,queens,queens county,building,residential
house,399999,3,1.0,2184,40.5950021,-73.7577376,11691,queens,queens county,building,residential
condo,250000,3,1.0,2184,40.5997081,-73.9344974,11229,brooklyn,gerritsen beach,building,residential
house,1165000,3,4.0,3500,40.5397292,-74.2155251,10309,staten island,richmond county,building,residential
