TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
multi-family home,850000,4,2.0,2375,40.5382166,-74.2235176,10309,staten island,richmond county,building,residential
house,588000,3,2.0,1140,40.627807,-74.11527,10310,staten island,richmond county,building,residential
house,1790000,4,2.0,2184,40.7143213,-73.85144,11375,brooklyn,forest hills,building,residential
multi-family home,1175000,9,3.0,2184,40.7579132,-73.8760761,11369,queens,jackson heights,building,residential
house,579000,4,2.0,2184,40.8454504,-73.81776,10465,bronx,bronx county,building,residential
house,2480000,3,2.0,3600,40.7754585,-73.8125494,11354,brooklyn,whitestone,building,residential
multi-family home,999000,4,3.0,2270,40.8614806,-73.8513941,10469,bronx,bronx county,building,residential
co-op,305000,2,1.0,2184,40.783465,-73.7990603,11357,brooklyn,whitestone,building,residential
multi-family home,1500000,6,2.0,3600,40.8082664,-73.9550742,10027,manhattan,harlem,building,residential
house,850000,3,2.0,1320,40.7907048,-73.8110968,11357,queens,queens county,building,residential
house,428000,3,3.0,2184,40.6274951,-73.915694,11234,brooklyn,kings county,building,residential
co-op,639000,1,1.0,2184,40.77172,-73.9467052,10028,manhattan,upper east side,building,residential
house,835000,3,2.0,2184,40.6226706,-73.9327329,11234,brooklyn,flatlands,building,residential
house,1250000,3,2.0,1560,40.7756208,-73.7758933,11360,queens,bayside,building,residential
house,1695000,5,3.0,2160,40.633504,-74.034181,11209,brooklyn,bay ridge,building,residential
house,502900,4,2.0,1440,40.6958663,-73.7450046,11411,queens,queens county,building,residential
multi-family home,749000,4,2.0,1420,40.8547724,-73.8583315,10461,bronx,bronx county,building,residential
multi-family home,529000,5,2.0,2248,40.5952037,-73.7634372,11691,queens,queens county,building,residential
house,705000,2,2.0,2184,40.727192,-73.883684,11379,queens,elmhurst,building,residential
co-op,335000,2,1.0,745,40.7517899,-73.88467,11372,queens,jackson heights,building,residential
townhouse,334999,1,2.0,1059,40.560143,-74.1854357,10312,staten island,richmond county,building,residential
co-op,295000,1,1.0,2184,40.883124,-73.9164633,10463,bronx,bronx county,building,residential
house,560000,3,2.0,2184,40.824234,-73.84638,10473,bronx,bronx county,building,residential
house,799000,3,2.0,2279,40.6131995,-73.9019711,11234,brooklyn,mill basin,building,residential
condo,720000,3,2.0,1046,40.6873745,-73.9264057,11221,brooklyn,bedford-stuyvesant,building,residential
contingent,249999,1,1.0,750,40.5523555,-74.1450647,10308,staten island,staten island,building,residential
house,850000,3,2.0,2184,40.6699378,-73.8213422,11420,queens,queens county,building,residential
multi-family home,750000,3,2.0,2184,40.5931071,-73.9753582,11223,brooklyn,gravesend,building,residential
multi-family home,625000,5,2.3738608579684373,2184,40.679665,-73.8819497,11208,brooklyn,kings county,building,residential
house,650000,2,2.0,896,40.7452362,-73.7204545,11426,queens,queens county,building,residential
townhouse,4845000,9,6.0,5939,40.808933,-73.940052,10035,manhattan,harlem,building,residential
co-op,887785,2,2.0,2184,40.7462427,-73.8259167,11355,queens,queens,building,residential
condo,499999,3,1.0,701,40.5925315,-73.9574046,11229,brooklyn,midwood,building,residential
pending,599000,4,2.0,1348,40.84296,-73.8312695,10461,bronx,the bronx,building,residential
pending,1149000,5,4.0,2169,40.6841571,-73.8820567,11208,brooklyn,kings county,building,residential
house,988000,4,2.3738608579684373,2400,40.5945187,-74.0904783,10304,staten island,richmond county,building,residential
house,764600,4,2.0,1884,40.5496155,-74.1391082,10308,staten island,richmond county,building,residential
townhouse,5495000,5,4.0,4296,40.6729621,-73.9751283,11215,brooklyn,kings county,building,residential
house,3900000,5,6.0,7723,40.7924222,-73.8260759,11357,queens,queens county,building,residential
co-op,188000,3,1.0,2184,40.7511899,-73.90201,11377,queens,jackson heights,building,residential
house,499900,3,2.0,1232,40.5527401,-74.1995549,10312,staten island,richmond county,building,residential
condo,705000,2,2.0,2184,40.7135957,-73.8863491,11379,queens,queens,building,residential
house,1289000,4,4.0,2184,40.7445255,-73.7137434,11004,queens,queens county,building,residential
co-op,350000,2,1.0,2184,40.6397364,-74.0186847,11220,brooklyn,sunset park,building,residential
multi-family home,918000,4,3.0,2184,40.7093093,-73.8548324,11375,queens,queens county,building,residential
multi-family home,1799000,4,3.0,3176,40.7196606,-73.8507871,11375,queens,queens county,building,residential
multi-family home,989000,4,2.0,1827,40.5927382,-73.9536851,11229,brooklyn,sheepshead bay,building,residential
multi-family home,890000,5,2.0,2144,40.5960203,-74.0673498,10305,staten island,richmond county,building,residential
house,1290000,4,3.0,2184,40.7848355,-73.8276854,11357,queens,queens county,building,residential
townhouse,4250000,3,4.0,3376,40.6781953,-73.9702616,11238,brooklyn,brooklyn,building,residential
townhouse,7400000,4,2.3738608579684373,3700,40.6820656,-73.9903833,11217,brooklyn,kings county,building,residential
house,899000,3,2.0,2184,40.7523748,-73.7900912,11358,queens,flushing,amenity,other
co-op,659000,3,2.0,1300,40.8224429,-73.8109606,10465,bronx,throgs neck,building,residential
house,1150000,5,3.0,2184,40.6529502,-73.8400922,11414,queens,queens county,building,residential
multi-family home,499000,5,2.0,2184,40.6601399,-73.9354891,11203,brooklyn,flatbush,building,residential
house,725000,3,2.0,1476,40.5582278,-74.1173549,10306,staten island,richmond county,building,residential
house,285000,3,1.0,1428,40.6384738,-74.1714633,10303,staten island,richmond county,building,residential
co-op,315000,2,1.0,2184,40.7758184,-73.907993,11105,queens,astoria,building,residential
condo,698000,2,2.0,824,40.7616652,-73.826414,11354,queens,queens,building,residential
house,849000,4,3.0,2184,40.7299635,-73.7195673,11426,queens,queens county,building,residential
townhouse,1775000,6,4.0,4900,40.8685757,-73.9220436,10034,manhattan,new york county,building,residential
townhouse,3850000,4,2.0,2160,40.7750748,-73.9496097,10028,manhattan,new york county,building,residential
condo,4500000,5,4.0,3180,40.709894,-74.017865,10280,manhattan,new york county,amenity,other
house,465000,2,2.0,988,40.8285177,-73.8155198,10465,bronx,bronx county,building,residential
contingent,869900,4,2.0,2280,40.5873346,-74.1553517,10314,staten island,richmond county,building,residential
multi-family home,699000,3,2.3738608579684373,2034,40.8665092,-73.8574012,10469,bronx,bronx county,building,residential
house,799000,3,2.0,864,40.5593089,-74.1264964,10306,staten island,richmond county,building,residential
condo,290000,1,1.0,2184,40.7255887,-73.8589005,11374,queens,queens county,amenity,other
pending,500000,5,3.0,2472,40.6339137,-73.9982004,11219,brooklyn,sunset park,building,residential
house,2750000,3,5.0,4600,40.6126355,-73.909459,11234,brooklyn,mill basin,building,residential
condo,495000,2,1.0,766,40.8525968,-73.9352912,10033,manhattan,washington heights,building,residential
multi-family home,1199000,4,4.0,2279,40.545515,-74.156447,10308,staten island,richmond county,building,residential
co-op,605000,3,2.0,1500,40.8818819,-73.921791,10463,bronx,the bronx,building,residential
co-op,550000,2,1.0,2184,40.6487997,-74.0024232,11232,brooklyn,sunset park,building,residential
house,768000,3,2.0,1065,40.7693375,-73.7854318,11361,queens,bayside,building,residential
co-op,575000,3,2.0,1480,40.5886056,-73.9394034,11235,brooklyn,sheepshead bay,building,residential
house,639000,3,2.0,1224,40.832149,-73.8265941,10465,bronx,bronx county,building,residential
house,850000,3,2.3738608579684373,2160,40.5931048,-74.0663488,10305,staten island,richmond county,building,residential
condo,345000,1,1.0,2184,40.7135571,-73.7901901,11432,queens,queens,building,residential
multi-family home,788888,5,2.0,3443,40.6255174,-73.9205183,11234,brooklyn,kings county,building,residential
pending,2288000,4,3.0,1788,40.6197363,-74.0177331,11228,brooklyn,kings county,building,residential
multi-family home,699000,4,2.0,2184,40.6963847,-73.8472713,11418,queens,queens county,building,residential
co-op,250000,1,1.0,900,40.880985,-73.9102329,10463,bronx,the bronx,building,residential
house,1120000,3,2.0,2184,40.7639092,-73.7205952,11362,queens,queens county,building,residential
house,858000,2,2.0,2184,40.7329998,-73.8824499,11373,queens,elmhurst,building,residential
house,1070000,4,2.0,2192,40.5991039,-74.067279,10305,staten island,richmond county,building,residential
townhouse,4800000,10,4.0,5353,40.6722614,-73.9816141,11215,brooklyn,kings county,building,residential
house,1250000,6,3.0,2400,40.8392843,-73.8243081,10465,bronx,bronx county,building,residential
multi-family home,1788000,6,5.0,2184,40.7494508,-73.8284569,11355,queens,queens county,building,residential
multi-family home,799000,4,3.0,1344,40.6398093,-73.9109383,11236,brooklyn,kings county,building,residential
multi-family home,963000,4,4.0,2400,40.5168606,-74.2375349,10307,staten island,richmond county,building,residential
multi-family home,998000,11,6.0,2184,40.6186409,-73.9389327,11234,brooklyn,flatlands,building,residential
co-op,950000,2,1.0,1000,40.7759205,-73.9861034,10023,manhattan,upper west side,building,residential
condo,410000,2,1.0,2184,40.5800127,-74.1614787,10314,staten island,staten island,building,residential
house,8500000,7,6.0,7000,40.7223906,-74.0075502,10013,manhattan,new york county,building,residential
multi-family home,1195000,11,6.0,2184,40.8526383,-73.8850533,10458,bronx,bronx county,building,residential
co-op,550000,2,1.0,1069,40.7192373,-73.846265,11375,brooklyn,forest hills,building,residential
multi-family home,2800000,16,16.0,10720,40.6215159,-73.9961566,11219,brooklyn,borough park,building,residential
multi-family home,940000,9,4.0,2184,40.6946299,-73.8051802,11435,queens,queens county,building,residential
house,865000,3,3.0,2184,40.7359218,-73.9035224,11377,queens,queens county,building,residential
condo,7995000,3,4.0,4412,40.7449246,-73.9836051,10016,manhattan,new york county,building,residential
house,690000,3,2.0,1284,40.5884822,-74.0735337,10305,staten island,richmond county,building,residential
co-op,330000,3,1.0,2184,40.6994276,-73.8518226,11421,queens,queens,building,residential
co-op,619000,2,2.0,1200,40.5768871,-73.9542132,11235,brooklyn,brooklyn,building,residential
house,899000,3,1.0,1050,40.6141485,-74.1643422,10314,staten island,richmond county,building,residential
house,1175000,2,2.0,1144,40.6314389,-74.0378384,11209,brooklyn,fort hamilton,building,residential
multi-family home,2999000,8,2.3738608579684373,6000,40.618804,-74.012196,11228,brooklyn,kings county,building,residential
co-op,800000,2,2.0,2184,40.7535399,-73.8868899,11372,queens,jackson heights,building,residential
house,799999,3,3.0,1444,40.7110987,-73.741186,11429,queens,queens county,building,residential
house,1139000,4,4.0,3150,40.5308796,-74.1913113,10312,staten island,richmond county,building,residential
co-op,300000,3,1.0,1200,40.5862693,-73.9407123,11235,brooklyn,sheepshead bay,building,residential
multi-family home,869000,6,3.0,1526,40.8505252,-73.856443,10461,bronx,bronx county,building,residential
house,749000,3,2.0,1480,40.8534458,-73.8484651,10461,bronx,bronx county,building,residential
co-op,240900,2,1.0,875,40.8797408,-73.9204193,10463,bronx,the bronx,building,residential
house,1295000,3,1.0,2184,40.7493551,-73.9158547,11104,queens,queens county,building,residential
pending,3850000,8,6.0,6200,40.62481,-73.9539607,11210,brooklyn,midwood,building,residential
house,549000,5,2.0,1716,40.5721728,-74.0972787,10306,staten island,richmond county,building,residential
house,475000,3,2.0,900,40.6158816,-74.0822185,10304,staten island,richmond county,building,residential
multi-family home,980000,4,3.0,1408,40.611841,-73.92961,11234,brooklyn,flatlands,building,residential
co-op,265000,2,1.0,1100,40.6068092,-73.9590334,11229,brooklyn,sheepshead bay,building,residential
co-op,262500,1,1.0,2184,40.8819467,-73.9200169,10463,bronx,the bronx,building,residential
house,2699000,7,6.0,11250,40.6087694,-74.0597773,10305,staten island,richmond county,building,residential
house,1200000,4,4.0,3300,40.8580056,-73.8365535,10469,bronx,bronx county,building,residential
house,989000,6,4.0,2720,40.5119454,-74.2470716,10307,staten island,richmond county,building,residential
multi-family home,899999,5,3.0,1800,40.9016185,-73.8999396,10471,bronx,bronx county,building,residential
house,2780000,5,6.0,3045,40.7967438,-73.8160751,11357,brooklyn,whitestone,building,residential
co-op,999000,2,1.0,1050,40.7921116,-73.9731768,10025,manhattan,upper west side,building,residential
multi-family home,699000,6,2.0,2184,40.6373525,-73.9344092,11203,brooklyn,kings county,building,residential
house,499999,4,2.0,1248,40.6289462,-74.1388487,10302,staten island,richmond county,building,residential
house,599999,3,2.0,1272,40.6111849,-74.0753235,10305,staten island,richmond county,building,residential
house,725000,4,2.0,2000,40.6199521,-74.1237895,10314,staten island,richmond county,building,residential
house,998888,3,2.0,1780,40.6117545,-74.0323281,11209,brooklyn,fort hamilton,building,residential
multi-family home,980000,3,4.0,2700,40.586018,-73.9252126,11229,brooklyn,gerritsen beach,building,residential
house,1299000,3,4.0,4450,40.854862,-73.7906694,10464,bronx,bronx county,building,residential
house,799000,3,2.0,1128,40.6169213,-73.9415274,11234,brooklyn,flatlands,building,residential
house,1250000,5,3.0,2295,40.617019,-73.9878352,11204,brooklyn,bensonhurst,building,residential
multi-family home,1275000,3,4.0,2184,40.7675169,-73.7439734,11363,queens,queens county,building,residential
multi-family home,749999,6,3.0,3150,40.8453955,-73.868163,10462,bronx,bronx county,building,residential
townhouse,2650000,5,4.0,4100,40.6711016,-73.9473427,11213,brooklyn,kings county,building,residential
co-op,2300000,2,2.0,1600,40.7236159,-73.9781735,10009,manhattan,new york county,building,residential
multi-family home,1390000,6,5.0,2245,40.7111134,-73.7361784,11429,queens,queens county,building,residential
co-op,450000,3,2.0,1026,40.7323502,-73.8611654,11374,queens,queens,building,residential
house,1999000,4,4.0,3420,40.5939144,-74.1059876,10304,staten island,richmond county,building,residential
mobile house,1288000,6,3.0,2184,40.760908,-73.861558,11369,queens,queens county,building,residential
multi-family home,639888,5,3.0,1376,40.5564024,-74.1975285,10312,staten island,richmond county,building,residential
house,569900,4,2.0,2180,40.6395577,-74.0807615,10301,staten island,richmond county,building,residential
house,1630000,7,4.0,2184,40.7704732,-73.7318799,11362,queens,queens county,building,residential
multi-family home,689888,3,2.0,1300,40.6780811,-73.8188973,11420,queens,queens county,building,residential
co-op,149000,1,1.0,2184,40.7581299,-73.8569399,11368,queens,queens,building,residential
house,589000,4,3.0,1320,40.63567,-74.166895,10303,staten island,richmond county,building,residential
pending,958000,3,2.0,2259,40.5292852,-74.1685622,10312,staten island,richmond county,building,residential
co-op,195000,1,1.0,2184,40.7659255,-73.7453922,11363,queens,queens,amenity,other
house,299000,1,1.0,608,40.5638362,-74.0989788,10306,staten island,richmond county,building,residential
house,1750000,4,4.0,3645,40.7968959,-73.822999,11357,queens,queens county,building,residential
townhouse,815000,3,2.0,2184,40.722658,-73.877617,11379,queens,queens county,building,residential
multi-family home,989000,5,3.0,2184,40.7531679,-73.8836878,11372,queens,jackson heights,building,residential
condo,1075000,2,2.0,2184,40.7507895,-73.9974127,10001,manhattan,new york county,building,residential
house,879000,2,1.0,1000,40.7615369,-73.9579786,10065,manhattan,upper east side,building,residential
co-op,430000,2,2.0,1200,40.8830657,-73.9206428,10463,bronx,the bronx,building,residential
co-op,445000,3,2.0,2184,40.7547252,-73.8255572,11355,queens,queens,building,residential
house,999000,3,2.0,1900,40.6228038,-74.0109676,11228,brooklyn,kings county,building,residential
house,2299000,6,4.0,2184,40.7171982,-73.8496941,11375,queens,queens county,building,residential
house,1225000,4,2.0,1960,40.7684802,-73.7666662,11361,queens,bayside,building,residential
house,849000,3,2.0,2184,40.7282284,-73.8732527,11379,queens,queens county,building,residential
house,1350000,4,3.0,1760,40.7293576,-73.7830175,11366,queens,queens county,building,residential
co-op,435000,3,1.0,2184,40.7799639,-73.9841598,10023,manhattan,upper west side,building,residential
pending,4999999,4,4.0,4342,40.6301693,-74.0384351,11209,brooklyn,fort hamilton,building,residential
pending,800000,3,2.3738608579684373,2184,40.6388264,-73.8846089,11236,brooklyn,canarsie,building,residential
co-op,329000,1,1.0,750,40.61593,-74.0335829,11209,brooklyn,fort hamilton,building,residential
house,599000,4,2.0,2184,40.7003331,-73.7875164,11433,queens,queens county,building,residential
house,699999,4,2.0,2184,40.6862137,-73.8740777,11208,brooklyn,kings county,building,residential
pending,539000,1,1.0,725,40.7865988,-73.7862803,11360,queens,queens,building,residential
house,2400000,5,4.0,3800,40.5752476,-74.1304878,10306,staten island,richmond county,building,residential
condo,275000,1,1.0,850,40.6056272,-73.943238,11229,brooklyn,sheepshead bay,building,residential
co-op,1395000,3,3.0,1750,40.7971343,-73.9722076,10025,manhattan,upper west side,building,residential
condo,568000,2,1.0,550,40.6141211,-73.9966616,11204,brooklyn,bensonhurst,building,residential
multi-family home,1049000,3,2.0,2184,40.7751162,-73.902397,11105,queens,queens county,building,residential
house,899000,4,2.0,1200,40.7791608,-73.8257555,11357,queens,queens county,building,residential
house,535000,3,3.0,1328,40.8355073,-73.9119966,10456,bronx,bronx county,building,residential
house,799999,3,2.0,1596,40.5419604,-74.1682869,10312,staten island,richmond county,building,residential
house,699000,6,4.0,2223,40.818678,-73.8954715,10459,bronx,bronx county,building,residential
co-op,169000,1,1.0,680,40.6150193,-73.9464928,11229,brooklyn,midwood,amenity,other
house,749000,3,2.0,1600,40.8544909,-73.8490394,10461,bronx,bronx county,building,residential
house,1099000,5,4.0,3500,40.5457789,-74.1847061,10312,staten island,richmond county,building,residential
townhouse,475000,2,2.0,1364,40.5634891,-74.1422664,10306,staten island,richmond county,building,residential
co-op,124900,1,1.0,676,40.880833,-73.8758596,10467,bronx,the bronx,building,residential
contingent,619000,3,2.0,1943,40.5478529,-74.1993422,10312,staten island,richmond county,building,residential
contingent,599000,3,1.0,1008,40.5819307,-74.1025463,10306,staten island,richmond county,building,residential
contingent,689900,3,2.0,1486,40.6126021,-74.0930021,10301,staten island,richmond county,building,residential
house,5900000,7,8.0,10100,40.897896,-73.903306,10471,bronx,bronx county,building,residential
condo,249000,2,1.0,815,40.840962,-73.854142,10462,bronx,bronx county,building,residential
condo,509000,3,1.0,2184,40.7544029,-73.876343,11372,queens,jackson heights,amenity,other
townhouse,549000,3,2.0,1150,40.5032035,-74.2388518,10307,staten island,richmond county,building,residential
townhouse,2995000,4,6.0,2184,40.6819529,-73.9373297,11233,brooklyn,kings county,building,residential
multi-family home,1999000,6,4.0,3850,40.9110703,-73.9017893,10471,bronx,bronx county,building,residential
multi-family home,350000,3,2.3738608579684373,2184,40.8585142,-73.8918995,10458,bronx,bronx county,building,residential
co-op,269000,1,1.0,2184,40.7759232,-73.9087334,11105,queens,queens,building,residential
house,7500000,6,2.3738608579684373,2184,40.8982423,-73.904797,10471,bronx,riverdale,building,residential
townhouse,9950000,10,10.0,2184,40.7852855,-73.9560385,10128,manhattan,new york county,building,residential
condo,2200000,3,4.0,1779,40.7685084,-73.9499965,10021,manhattan,upper east side,building,residential
house,479000,4,2.0,1800,40.6714818,-73.7606794,11413,queens,queens county,building,residential
co-op,329000,1,1.0,2184,40.7193051,-73.8453248,11375,brooklyn,forest hills,building,residential
pending,1500000,5,7.0,4384,40.8354875,-73.9459545,10032,manhattan,washington heights,building,residential
multi-family home,560000,3,2.3738608579684373,2184,40.632221,-73.955309,11210,brooklyn,midwood,building,residential
townhouse,588000,4,3.0,2160,40.8678944,-73.9078533,10463,bronx,the bronx,building,residential
condo,3300000,2,2.0,1652,40.7720149,-73.9555341,10075,manhattan,new york county,building,residential
co-op,169999,2,1.0,2184,40.7579027,-73.8562374,11368,queens,queens,building,residential
co-op,439000,1,1.0,950,40.638118,-74.073964,10301,staten island,staten island,building,residential
co-op,448000,3,1.0,2184,40.7932677,-73.7984822,11357,queens,queens,building,residential
townhouse,2977000,4,4.0,2601,40.6834305,-74.005483,11231,brooklyn,kings county,building,residential
co-op,385000,1,1.0,900,40.876794,-73.9177034,10463,bronx,the bronx,building,residential
house,978000,3,2.0,2184,40.7337126,-73.7765367,11366,queens,queens county,building,residential
townhouse,790000,3,2.0,1596,40.7761945,-73.8477672,11354,queens,queens county,building,residential
co-op,1195000,3,3.0,995,40.8830898,-73.9165737,10463,bronx,the bronx,building,residential
co-op,97500,2,1.0,791,40.8279037,-73.881623,10472,bronx,the bronx,building,residential
contingent,999000,4,4.0,1798,40.6032357,-74.0737747,10305,staten island,richmond county,building,residential
house,550000,2,2.0,995,40.8209689,-73.8074205,10465,bronx,bronx county,building,residential
co-op,519999,3,2.0,1100,40.7551143,-73.8752634,11372,queens,jackson heights,amenity,other
house,729000,2,1.0,1100,40.5343207,-74.1998415,10309,staten island,richmond county,building,residential
contingent,999999,12,6.0,3900,40.6589824,-73.9920247,11215,brooklyn,sunset park,building,residential
house,2898555,5,5.0,7200,40.5203019,-74.1780566,10312,staten island,richmond county,building,residential
house,611999,3,2.0,2184,40.6973209,-73.7315945,11411,queens,queens county,building,residential
house,1500000,3,3.0,2100,40.5786182,-73.9420211,11235,brooklyn,manhattan beach,building,residential
house,5600000,5,4.0,4959,40.611854,-73.9477154,11229,brooklyn,flatlands,building,residential
co-op,299999,2,1.0,857,40.8227774,-73.8084775,10465,bronx,throgs neck,building,residential
house,748888,2,2.0,1260,40.6131085,-74.1603745,10314,staten island,richmond county,building,residential
house,630000,2,2.0,1450,40.5604211,-74.1344639,10306,staten island,richmond county,building,residential
co-op,319000,2,1.0,925,40.7355842,-73.8491198,11375,queens,queens,building,residential
house,319000,3,1.0,2184,40.6242127,-74.1357292,10302,staten island,richmond county,building,residential
pending,1250000,6,4.0,2184,40.5022937,-74.2429452,10307,staten island,richmond county,building,residential
multi-family home,1199000,4,3.0,1848,40.7349473,-73.7733194,11366,queens,queens county,building,residential
multi-family home,1500000,6,4.0,3328,40.585111,-74.1036081,10306,staten island,richmond county,building,residential
house,780000,3,2.0,1320,40.6384339,-73.8899834,11236,brooklyn,canarsie,building,residential
co-op,255000,1,1.0,750,40.5792324,-73.9713245,11224,brooklyn,brighton beach,building,residential
condo,649000,2,2.0,905,40.5855131,-73.9883977,11214,brooklyn,kings county,building,residential
house,1480000,4,4.0,1596,40.7699832,-73.8257555,11354,queens,queens county,building,residential
house,628000,3,2.0,1824,40.5755968,-74.1636272,10314,staten island,richmond county,building,residential
co-op,190000,2,1.0,875,40.8766081,-73.8998497,10463,bronx,the bronx,building,residential
condo,450000,2,1.0,2184,40.7541793,-73.8310866,11355,queens,queens,building,residential
contingent,2473888,4,6.0,5600,40.5464716,-74.1880551,10312,staten island,richmond county,building,residential
contingent,785000,3,2.0,1950,40.5990416,-74.0674289,10305,staten island,richmond county,building,residential
house,699900,3,2.0,1240,40.71397,-73.8970573,11379,queens,queens county,building,residential
multi-family home,2495000,3,4.0,2184,40.7679759,-73.899664,11370,queens,queens county,building,residential
co-op,149999,1,1.0,850,40.8992144,-73.8624103,10470,bronx,the bronx,building,residential
pending,172800,1,1.0,750,40.6149015,-73.9185548,11234,brooklyn,mill basin,building,residential
multi-family home,1768888,10,10.0,3933,40.6410259,-74.0112793,11220,brooklyn,sunset park,building,residential
multi-family home,1239998,4,4.0,2250,40.5355587,-74.2075918,10309,staten island,richmond county,building,residential
multi-family home,1699000,9,5.0,5500,40.8754624,-73.8807502,10467,bronx,bronx county,building,residential
house,1350000,3,3.0,2184,40.724706,-73.7957477,11366,queens,queens county,building,residential
house,889000,3,2.0,2362,40.5395766,-74.1810757,10312,staten island,richmond county,building,residential
condo,1300000,2,2.0,1100,40.6746458,-73.9992831,11231,brooklyn,brooklyn,building,residential
co-op,310000,2,1.0,675,40.7444053,-73.7237661,11426,queens,queens,building,residential
pending,1149000,7,4.0,3617,40.8343858,-73.8590313,10462,bronx,bronx county,building,residential
co-op,239900,1,1.0,585,40.7516659,-73.7183001,11004,queens,queens,building,residential
co-op,257000,3,1.0,450,40.5756277,-73.9667833,11235,brooklyn,brooklyn,amenity,other
condo,1090000,2,2.0,1860,40.7879226,-73.7863723,11360,queens,queens,building,residential
multi-family home,799999,6,2.3738608579684373,2184,40.6245872,-73.9219517,11234,brooklyn,kings county,building,residential
townhouse,2045000,6,4.0,3976,40.8305666,-73.9469641,10031,manhattan,new york county,building,residential
multi-family home,1195000,3,2.0,2700,40.5424657,-74.1746625,10312,staten island,richmond county,building,residential
co-op,340000,2,1.0,900,40.8919476,-73.8973687,10471,bronx,the bronx,building,residential
house,1375000,6,2.0,1596,40.7681033,-73.8107752,11354,queens,queens county,building,residential
house,749000,3,1.0,1644,40.6267035,-74.1052076,10310,staten island,richmond county,building,residential
pending,1399000,5,4.0,2184,40.6960034,-73.8584205,11421,queens,queens county,building,residential
co-op,775000,3,2.0,1880,40.7636632,-73.9655082,10065,manhattan,upper east side,building,residential
multi-family home,948000,7,3.0,2184,40.694328,-73.7581979,11412,queens,queens county,building,residential
co-op,2250000,4,3.0,2184,40.7830893,-73.9713177,10024,manhattan,new york county,amenity,other
multi-family home,1300000,6,3.0,2184,40.6236835,-73.9213087,11234,brooklyn,kings county,building,residential
multi-family home,729000,3,3.0,1800,40.6391205,-73.9112362,11236,brooklyn,kings county,building,residential
condo,425000,2,2.0,800,40.8848915,-73.9110436,10463,bronx,the bronx,building,residential
co-op,269000,1,1.0,700,40.7318958,-73.8599645,11374,queens,queens,building,residential
multi-family home,699000,8,5.0,2300,40.8460907,-73.8887912,10457,bronx,bronx county,building,residential
co-op,550000,3,2.0,1250,40.8071957,-73.941821,10027,manhattan,harlem,building,residential
townhouse,799900,3,2.3738608579684373,2058,40.5147701,-74.2022363,10309,staten island,richmond county,building,residential
house,829000,4,2.0,1680,40.6565796,-73.8516349,11414,queens,queens county,building,residential
condo,789000,2,2.0,1230,40.577533,-73.958513,11235,brooklyn,brooklyn,building,residential
house,2250000,6,4.0,2184,40.7246592,-73.9475691,11222,brooklyn,kings county,building,residential
co-op,359000,1,1.0,2184,40.7751786,-73.9550168,10028,manhattan,new york county,building,residential
house,1439000,6,4.0,1440,40.6337561,-74.003307,11219,brooklyn,sunset park,building,residential
multi-family home,1050000,7,4.0,3280,40.8282228,-73.8706372,10472,bronx,bronx county,building,residential
house,270000,4,2.0,2000,40.8550515,-73.8852304,10458,bronx,bronx county,building,residential
multi-family home,2280000,6,5.0,2184,40.7472951,-73.8164494,11355,queens,queens county,building,residential
co-op,278999,1,1.0,2184,40.7601741,-73.728329,11362,queens,queens county,building,residential
multi-family home,625000,5,2.0,2184,40.6921071,-73.9400823,11221,brooklyn,clinton hill,building,residential
foreclosure,605000,4,2.0,1344,40.5909939,-74.0662942,10305,staten island,richmond county,building,residential
house,529000,3,2.0,1150,40.635324,-74.133679,10302,staten island,richmond county,building,residential
townhouse,1050000,4,1.0,2184,40.6701878,-73.9595284,11225,brooklyn,kings county,building,residential
townhouse,1049000,3,1.0,1224,40.7207542,-73.8537801,11375,queens,queens county,building,residential
co-op,259000,1,1.0,2184,40.7488599,-73.8926999,11372,queens,jackson heights,building,residential
house,599000,3,2.0,2184,40.6645719,-73.8995034,11207,brooklyn,kings county,building,residential
contingent,675000,3,1.0,1316,40.630475,-74.100665,10301,staten island,richmond county,building,residential
contingent,789000,4,2.0,1871,40.5248784,-74.2121776,10309,staten island,richmond county,building,residential
multi-family home,998000,6,3.0,1872,40.7086372,-73.9026067,11385,queens,queens county,building,residential
multi-family home,889000,6,2.0,2280,40.8368581,-73.8449273,10461,bronx,bronx county,building,residential
house,825000,2,2.0,1820,40.6163169,-73.9981652,11204,brooklyn,bensonhurst,building,residential
multi-family home,599999,6,2.0,3490,40.6649303,-73.8670719,11208,brooklyn,east new york,building,residential
house,2750000,4,2.3738608579684373,2184,40.8930548,-73.9067416,10471,bronx,riverdale,building,residential
house,649000,3,2.0,1064,40.6215026,-73.9066372,11234,brooklyn,kings county,building,residential
multi-family home,989000,8,5.0,3960,40.8807579,-73.8418489,10466,bronx,bronx county,building,residential
condo,357000,3,1.0,1100,40.8389829,-73.8601515,10462,bronx,the bronx,building,residential
co-op,119888,1,1.0,2184,40.7582228,-73.8559216,11368,queens,corona,building,residential
multi-family home,1099999,4,2.0,2185,40.8135939,-73.8019007,10465,bronx,bronx county,building,residential
house,749000,2,1.0,2184,40.7236718,-73.8030548,11366,queens,queens county,building,residential
multi-family home,589999,4,2.0,1680,40.6314894,-74.1348461,10302,staten island,richmond county,building,residential
