Original Address,ZIP Code,Sublocality,Borough
"Regis Residence, 2 E 55th Street #803",10022,Regis Residence,Manhattan
2 E 55th Street,10022,ST REGIS HOTEL (lower level,Manhattan
246 E 58th Street,10022,East 58th Street,Manhattan
444 E 57th Street #2D,10022,East 57th Street,Manhattan
2 Sutton Place S,10022,Sutton Place South,Manhattan
231-235 E 55th Street # 45A,10022,East 55th Street,Manhattan
303 E 57th Street #39A,10022,East 57th Street,Manhattan
411 E 53rd Street #4J,10022,East 53rd Street,Manhattan
465 Park Avenue Apt 34E,10022,Park Avenue,Manhattan
410 E 57th Street #8B,10022,East 57th Street,Manhattan
6 Sutton Square,10022,Sutton Square,Manhattan
303 E 57th Street #19B,10022,East 57th Street,Manhattan
411 E 57th Street #16B,10022,East 57th Street,Manhattan
420 E 51st Street Apartment 10E,10022,East 51st Street,Manhattan
440 E 56th Street #4B,10022,East 56th Street,Manhattan
240 E 55th Street #8E,10022,East 55th Street,Manhattan
455 E 51st Street #4A,10022,East 51st Street,Manhattan
401 E 60th Street #17A,10022,East 60th Street,Manhattan
455 E 51st Street #4F,10022,East 51st Street,Manhattan
165 E 60th Street #5C,10022,East 60th Street,Manhattan
315 E 51st Street,10022,East 51st Street,Manhattan
321 E 54th Street #3C,10022,East 54th Street,Manhattan
500 Park Avenue #16A,10022,Park Avenue,Manhattan
345 E 56th Street,10022,East 56th Street,Manhattan
320 E 57th Street,10022,East 57th Street,Manhattan
418 E 59th Street,10022,East 59th Street,Manhattan
45 Sutton Place S,10022,Sutton Place South,Manhattan
465 Park Avenue #9E,10022,Park Avenue,Manhattan
323 E 53rd Street,10022,East 53rd Street,Manhattan
641 5th Avenue #42B,10022,5th Avenue,Manhattan
480 Park Avenue Apt 18D,10022,Park Avenue,Manhattan
319 E 50th Street #9E,10022,East 50th Street,Manhattan
118 E 60th Street #4B,10022,East 60th Street,Manhattan
301 E 52nd Street #4B,10022,East 52nd Street,Manhattan
322 E 57th Street,10022,East 57th Street,Manhattan
252 E 57th Street #39C,10022,East 57th Street,Manhattan
781 5th Avenue # 407,10022,5th Avenue,Manhattan
470 Park Avenue #6A,10022,Park Avenue,Manhattan
455 E 51st Street #2B,10022,East 51st Street,Manhattan
420 E 51st Street #8D,10022,East 51st Street,Manhattan
502 Park Avenue Apt 12H,10022,Park Avenue,Manhattan
416 E 50th Street,10022,East 50th Street,Manhattan
300 E 54th Street #34A,10022,East 54th Street,Manhattan
435 E 57th Street Apt 11A,10022,East 57th Street,Manhattan
485 Park Avenue,10022,Park Avenue,Manhattan
425 E 51st Street #2B,10022,East 51st Street,Manhattan
400 E 56th Street #25C,10022,East 56th Street,Manhattan
444 E 52nd Street #6E,10022,East 52nd Street,Manhattan
400 E 59th Street #16B,10022,East 59th Street,Manhattan
117 E 57th Street Apt 34F,10022,East 57th Street,Manhattan
231-235 E 55th Street # 43B,10022,East 55th Street,Manhattan
200 E 58th Street #14C,10022,East 58th Street,Manhattan
135 E 54th Street #14B,10022,East 54th Street,Manhattan
401 E 60th Street #4B,10022,East 60th Street,Manhattan
333 E 57th Street # 12A,10022,East 57th Street,Manhattan
207 E 57th Street #16B,10022,M & B Building,Manhattan
418 E 59th Street #31B,10022,East 59th Street,Manhattan
60 E 55th Street #3,10022,East 55th Street,Manhattan
721 5th Avenue Suite 52D,10022,5th Avenue,Manhattan
415 E 52nd Street #9A,10022,East 52nd Street,Manhattan
225 E 57th Street #11M,10022,M & B Building,Manhattan
319 E 50th Street #8F,10022,East 50th Street,Manhattan
300 E 55th Street,10022,East 55th Street,Manhattan
420 E 55th Street #6L,10022,East 55th Street,Manhattan
"Regis Residence, 2 E 55th Street #1118",10022,Regis Residence,Manhattan
433 E 56th Street #8E,10022,East 56th Street,Manhattan
220 E 60th Street,10022,East 60th Street,Manhattan
641 5th Avenue #30H,10022,5th Avenue,Manhattan
303 E 57th Street #29E,10022,East 57th Street,Manhattan
118 E 60th Street #11E,10022,East 60th Street,Manhattan
432 Park Avenue Apt 84B,10022,Park Avenue,Manhattan
401 E 60th Street #5B,10022,East 60th Street,Manhattan
342 E 53rd Street #6C,10022,East 53rd Street,Manhattan
217 W 57th Street,10019,Central Park Tower,Manhattan
111 W 57th Street #50,10019,West 57th Street,Manhattan
9 W 54th Street,10019,West 54th Street,Manhattan
135 W 52nd Street Ph 5,10019,West 52nd Street,Manhattan
305 W 55th Street #2A,10019,West 55th Street,Manhattan
150 W 51st Street #808,10019,West 51st Street,Manhattan
422 W 49th Street #4A,10019,West 49th Street,Manhattan
345 W 55th Street #6B,10019,West 55th Street,Manhattan
452 W 50th Street #4A,10019,West 50th Street,Manhattan
457 W 57th Street #809,10019,West 57th Street,Manhattan
325 W 52nd Street,10019,West 52nd Street,Manhattan
40 W 55th Street #4D,10019,West 55th Street,Manhattan
120 Central Park S #3G,10019,Central Park South,Manhattan
416 W 52nd Street # 312,10019,West 52nd Street,Manhattan
426 W 58th Street Ph 3,10019,West 58th Street,Manhattan
1600 Broadway Ph 4B,10019,Broadway,Manhattan
458 W 51st Street,10019,West 51st Street,Manhattan
465 W 57th Street #3B,10019,West 57th Street,Manhattan
171 W 57th Street #8C,10019,West 57th Street,Manhattan
"Random House Tower, 230 W 56th Street Apt 62B",10019,West 56th Street,Manhattan
77 W 55th Street #2A,10019,West 55th Street,Manhattan
150 Central Park S,10019,Central Park South,Manhattan
555 W 59th Street #19B,10019,West 59th Street,Manhattan
150 W 51st Street Apt 2116,10019,West 51st Street,Manhattan
540 W 49th Street Ph 8N,10019,West 49th Street,Manhattan
301 W 57th Street #34E,10019,West 57th Street,Manhattan
1600 Broadway #16G,10019,Broadway,Manhattan
347 W 57th Street #29C,10019,West 57th Street,Manhattan
159 W 53rd Street #36B,10019,West 53rd Street,Manhattan
314 W 56th Street #3C,10019,West 56th Street,Manhattan
555 W 59th Street #20B,10019,West 59th Street,Manhattan
24 W 55th Street,10019,West 55th Street,Manhattan
1 Central Park S #1801,10019,Central Park South,Manhattan
1 Central Park S # 606,10019,Central Park South,Manhattan
425 W 50th Street #12B,10019,West 50th Street,Manhattan
347 W 57th Street #6B,10019,West 57th Street,Manhattan
400 W 58th Street #4B,10019,West 58th Street,Manhattan
217 W 57th Street #35A,10019,West 57th Street,Manhattan
150 W 55th Street #6C,10019,West 55th Street,Manhattan
40 W 55th Street #8D,10019,West 55th Street,Manhattan
200 Central Park S #20J,10019,Central Park South,Manhattan
414 W 54th Street #4E,10019,West 54th Street,Manhattan
24 Central Park S # 5E,10019,Central Park South,Manhattan
15 W 53rd Street #14G,10019,West 53rd Street,Manhattan
171 W 57th Street Apt 11A,10019,West 57th Street,Manhattan
205 W 54th Street #5B,10019,West 54th Street,Manhattan
24 Central Park S # 3E,10019,Central Park South,Manhattan
25 Columbus Cir #69,10019,Columbus Circle,Manhattan
317 W 54th Street #2E,10019,West 54th Street,Manhattan
301 W 53rd Street #19A,10019,West 53rd Street,Manhattan
25 Columbus Cir #57,10019,Columbus Circle,Manhattan
128 Central Park S #10A,10019,Central Park South,Manhattan
17 W 54th Street #10F,10019,West 54th Street,Manhattan
346 W 56th Street #1A,10019,West 56th Street,Manhattan
110 Central Park S #5A,10019,Central Park South,Manhattan
1 Central Park S #1901,10019,Central Park South,Manhattan
100 Central Park S #3A,10019,Central Park South,Manhattan
17 W 54th Street #3C,10019,West 54th Street,Manhattan
620 Sinclair Avenue,10312,Sinclair Avenue,Staten Island
4654 Amboy Road #2B,10312,Amboy Road,Staten Island
31 4 Ct,10312,4 Court,Staten Island
604 Lamont Avenue,10312,Lamont Avenue,Staten Island
82 Vineland Avenue,10312,Vineland Avenue,Staten Island
308 Poillon Avenue,10312,Poillon Avenue,Staten Island
358 Lamoka Avenue,10312,Lamoka Avenue,Staten Island
640 Sheldon Avenue,10312,Sheldon Avenue,Staten Island
417 Genesee Avenue,10312,Genesee Avenue,Staten Island
750 Barclay Avenue,10312,Barclay Avenue,Staten Island
335 Preston Avenue,10312,Preston Avenue,Staten Island
329 Wainwright Avenue,10312,Wainwright Avenue,Staten Island
65 Rensselaer Avenue,10312,Rensselaer Avenue,Staten Island
1010 Huguenot Avenue,10312,Huguenot Avenue,Staten Island
166 Rolling Hill Green,10312,Rolling Hill Green,Staten Island
712 Katan Avenue,10312,Katan Avenue,Staten Island
181 Androvette Avenue,10312,Androvette Avenue,Staten Island
252 Ionia Avenue,10312,Ionia Avenue,Staten Island
263 Getz Avenue,10312,Getz Avenue,Staten Island
184 Lovelace Avenue,10312,Lovelace Avenue,Staten Island
306 Ilyssa Way,10312,Ilyssa Way,Staten Island
40 Bunnell Ct,10312,Bunnell Court,Staten Island
950 Huguenot Avenue,10312,Huguenot Avenue,Staten Island
226 Dover Green,10312,Dover Green,Staten Island
50 Tyndale Street,10312,Tyndale Street,Staten Island
780 Ionia Avenue,10312,Ionia Avenue,Staten Island
364 Mosely Avenue,10312,Mosely Avenue,Staten Island
310 Jefferson Boulevard,10312,Jefferson Boulevard,Staten Island
170 Russek Drive,10312,Russek Drive,Staten Island
545 Arbutus Avenue,10312,Arbutus Avenue,Staten Island
797 Woodrow Road,10312,Woodrow Road,Staten Island
284 Vineland Avenue,10312,Vineland Avenue,Staten Island
107 S Railroad Street,10312,South Railroad Street,Staten Island
72 Jeanette Avenue,10312,Jeanette Avenue,Staten Island
1056 Arden Avenue,10312,Arden Avenue,Staten Island
51 Anaconda Street,10312,Anaconda Street,Staten Island
490 Jansen Street,10312,Jansen Street,Staten Island
66 Archwood Avenue,10312,Archwood Avenue,Staten Island
123 Jamie Lane,10312,Jamie Lane,Staten Island
114 Mc Arthur Avenue,10312,Mcarthur Avenue,Staten Island
643 Huguenot Avenue,10312,Huguenot Avenue,Staten Island
20 Gabrielle Ct,10312,Gabrielle Court,Staten Island
4521 Hylan Boulevard,10312,Hylan Boulevard,Staten Island
471 Beach Road,10312,Beach Road,Staten Island
169 Crown Avenue,10312,Crown Avenue,Staten Island
196 Bennett Avenue,10312,Bennett Avenue,Staten Island
476 Robinson Avenue,10312,Robinson Avenue,Staten Island
302 Sheldon Avenue,10312,Sheldon Avenue,Staten Island
595 Sinclair Avenue,10312,Sinclair Avenue,Staten Island
157 N Pine Terrace,10312,North Pine Terrace,Staten Island
160 Rathbun Avenue,10312,Rathbun Avenue,Staten Island
600 Annadale Road,10312,Annadale Road,Staten Island
591 Huguenot Avenue,10312,Huguenot Avenue,Staten Island
17 Bianca Ct,10312,Bianca Court,Staten Island
66 Bianca Ct,10312,Bianca Court,Staten Island
4236 Richmond Avenue,10312,Richmond Avenue,Staten Island
782 Ionia Avenue,10312,Ionia Avenue,Staten Island
199 Vineland Avenue,10312,Vineland Avenue,Staten Island
537 Annadale Road,10312,Annadale Road,Staten Island
59 Bartlett Avenue,10312,Bartlett Avenue,Staten Island
Discala Lane,10312,Discala Lane,Staten Island
94 Lorrain Avenue,10312,Lorrain Avenue,Staten Island
40 Princeton Lane,10312,Princeton Lane,Staten Island
481 Genesee Avenue,10312,Genesee Avenue,Staten Island
5197 Amboy Road,10312,Amboy Road,Staten Island
323 Getz Avenue,10312,Getz Avenue,Staten Island
229 Mosely Avenue,10312,Mosely Avenue,Staten Island
5 E 64th Street,10065,East 64th Street,Manhattan
333 E 66th Street #8E,10065,East 66th Street,Manhattan
575 Park Avenue # 1101,10065,Park Avenue,Manhattan
166 E 64th Street,10065,East 64th Street,Manhattan
205 E 63rd Street #11E,10065,East 63rd Street,Manhattan
188 E 64th Street Apt 802,10065,East 64th Street,Manhattan
1175 York Avenue #7B,10065,York Avenue,Manhattan
175 E 62nd Street #14A,10065,East 62nd Street,Manhattan
10 E 64th Street,10065,East 64th Street,Manhattan
55 E 65th Street #4A,10065,East 65th Street,Manhattan
6 E 68th Street #2,10065,East 68th Street,Manhattan
315 E 65th Street #11C,10065,East 65th Street,Manhattan
152 E 63rd Street,10065,East 63rd Street,Manhattan
812 5th Avenue #10A,10065,5th Avenue,Manhattan
591 Park Avenue,10065,Park Avenue,Manhattan
425 E 63rd Street,10065,East 63rd Street,Manhattan
141 E 63rd Street,10065,East 63rd Street,Manhattan
55 E 65th Street #4B,10065,East 65th Street,Manhattan
29 E 63rd Street,10065,East 63rd Street,Manhattan
575 Park Avenue # 1508,10065,Park Avenue,Manhattan
301 E 63rd Street #4B,10065,East 63rd Street,Manhattan
52 E 66th Street,10065,East 66th Street,Manhattan
23 E 67th Street,10065,East 67th Street,Manhattan
40 E 62nd Street #5B,10065,East 62nd Street,Manhattan
205 E 63rd Street #19E,10065,East 63rd Street,Manhattan
140 E 63rd Street #4N,10065,East 63rd Street,Manhattan
301 E 63rd Street #8D,10065,East 63rd Street,Manhattan
825 5th Avenue #16D,10065,5th Avenue,Manhattan
220 E 65th Street #20B,10065,East 65th Street,Manhattan
11 E 68th Street #7J,10065,East 68th Street,Manhattan
4 E 66th Street Fl 7,10065,East 66th Street,Manhattan
2 E 67th Street Fl 9,10065,East 67th Street,Manhattan
161 E 63rd Street,10065,East 63rd Street,Manhattan
120 E 61st Street,10065,East 61st Street,Manhattan
53 E 64th Street,10065,East 64th Street,Manhattan
875 5th Avenue #9A,10065,5th Avenue,Manhattan
640 Park Avenue Fl 3,10065,Park Avenue,Manhattan
403 E 62nd Street #14A,10065,East 62nd Street,Manhattan
875 5th Avenue #12B,10065,5th Avenue,Manhattan
18 E 63rd Street Apt 9,10065,East 63rd Street,Manhattan
1160 3rd Avenue #3D,10065,3rd Avenue,Manhattan
820 5th Avenue,10065,5th Avenue,Manhattan
870 5th Avenue #4H,10065,5th Avenue,Manhattan
350 E 62nd Street #3B,10065,East 62nd Street,Manhattan
860 5th Avenue #4H,10065,5th Avenue,Manhattan
27 E 65th Street #2E,10065,East 65th Street,Manhattan
333 E 66th Street #9B,10065,East 66th Street,Manhattan
166 E 63rd Street #10C,10065,East 63rd Street,Manhattan
205 E 68th Street #3D,10065,East 68th Street,Manhattan
150 E 61st Street #5K,10065,East 61st Street,Manhattan
1 E 66th Street #2A,10065,East 66th Street,Manhattan
205 E 63rd Street #6B,10065,East 63rd Street,Manhattan
860 5th Avenue #7F,10065,5th Avenue,Manhattan
870 5th Avenue #4D,10065,5th Avenue,Manhattan
404 E 66th Street #4N,10065,East 66th Street,Manhattan
200 E 62nd Street #19A,10065,East 62nd Street,Manhattan
563 Park Avenue #10E,10065,Park Avenue,Manhattan
132 E 62nd Street,10065,East 62nd Street,Manhattan
125 E 63rd Street #4B,10065,East 63rd Street,Manhattan
340 E 64th Street #8R,10065,East 64th Street,Manhattan
825 5th Avenue #12C,10065,5th Avenue,Manhattan
838 5th Avenue Fl 6,10065,5th Avenue,Manhattan
584 Park Place,11238,Park Place,Brooklyn
737 Bergen Street #1B,11238,Bergen Street,Brooklyn
65 Gates Avenue,11238,Gates Avenue,Brooklyn
189 Prospect Place #1,11238,Prospect Place,Brooklyn
116 Cambridge Place #3C,11238,Cambridge Place,Brooklyn
474 Sterling Place,11238,Sterling Place,Brooklyn
465 Street Johns Place,11238,Saint Johns Place,Brooklyn
143 Lafayette Avenue #1A,11238,Lafayette Avenue,Brooklyn
794 Bergen Street,11238,Bergen Street,Brooklyn
168 Lefferts Place,11238,Lefferts Place,Brooklyn
449 Classon Avenue,11238,Classon Avenue,Brooklyn
213 Eastern Parkway #2,11238,Eastern Parkway,Brooklyn
68 Clifton Place,11238,Clifton Place,Brooklyn
445 Waverly Avenue,11238,Waverly Avenue,Brooklyn
673 Vanderbilt Avenue #1C,11238,Vanderbilt Avenue,Brooklyn
888 Fulton Street #3A,11238,Fulton Street,Brooklyn
189 Prospect Place #2,11238,Prospect Place,Brooklyn
93 Lexington Avenue,11238,Lexington Avenue,Brooklyn
190 Lefferts Place Apt 5,11238,Lefferts Place,Brooklyn
168 Lafayette Avenue,11238,Lafayette Avenue,Brooklyn
55 Greene Avenue #2B,11238,Greene Avenue,Brooklyn
550 Vanderbilt Avenue Apartment 511,11238,Vanderbilt Avenue,Brooklyn
567 Street Johns Place,11238,Saint Johns Place,Brooklyn
475 Sterling Place #1B,11238,Sterling Place,Brooklyn
366 Clermont Avenue,11238,Clermont Avenue,Brooklyn
856 Washington Avenue #6C,11238,Washington Avenue,Brooklyn
157 W 126th Street #1B,10027,West 126th Street,Manhattan
2235 Frederick Douglass Boulevard #7K,10027,Frederick Douglass Boulevard,Manhattan
344 W 121st Street,10027,West 121st Street,Manhattan
265 W 131st Street #5,10027,West 131st Street,Manhattan
34 Mt Morris Park W,10027,Mount Morris Park West,Manhattan
246 W 123rd Street,10027,West 123rd Street,Manhattan
265 W 131st Street #4,10027,West 131st Street,Manhattan
380 Lenox Avenue #2D,10027,Malcolm X Boulevard,Manhattan
52 Convent Avenue #1C,10027,Convent Avenue,Manhattan
26 W 127th Street,10027,West 127th Street,Manhattan
217 W 122nd Street,10027,West 122nd Street,Manhattan
100 W 121st Street #64,10027,West 121st Street,Manhattan
2053 Adam Clayton Powell Jr Boulevard #1A,10027,7th Avenue,Manhattan
42 W 120th Street #2D,10027,West 120th Street,Manhattan
371 W 120th Street #2A,10027,West 120th Street,Manhattan
145 W 129th Street #2,10027,West 129th Street,Manhattan
375 W 123rd Street #7B,10027,West 123rd Street,Manhattan
380 Lenox Avenue #4B,10027,Malcolm X Boulevard,Manhattan
362 W 127th Street #6B,10027,West 127th Street,Manhattan
50 W 127th Street,10027,West 127th Street,Manhattan
18 W 127th Street,10027,West 127th Street,Manhattan
543 W 122nd Street #27A,10027,West 122nd Street,Manhattan
440 Riverside Drive Apt 105,10027,Riverside Drive,Manhattan
543 W 122nd Street #21A,10027,West 122nd Street,Manhattan
177 Benedict Road,10304,Benedict Road,Staten Island
165 Cromwell Avenue #2B,10304,Cromwell Avenue,Staten Island
310 Hillside Avenue #312,10304,Hillside Avenue,Staten Island
55 Austin Place Apt 4L,10304,Austin Place,Staten Island
25 Copperleaf Terrace,10304,Copperleaf Terrace,Staten Island
74 Holly Street,10304,Holly Street,Staten Island
60 Lyman Place,10304,Lyman Place,Staten Island
91 Flagg Ct,10304,Flagg Court,Staten Island
1233 Todt Hill Road,10304,Todt Hill Road,Staten Island
80 Longview Road,10304,Longview Road,Staten Island
55 Austin Place,10304,Austin Place,Staten Island
30 Cunard Avenue,10304,Cunard Avenue,Staten Island
139 Atlantic Avenue,10304,Atlantic Avenue,Staten Island
244 4 Corners Road,10304,Four Corners Road,Staten Island
827 Richmond Road,10304,Richmond Road,Staten Island
108 Dutchess Avenue,10304,Dutchess Avenue,Staten Island
131 Cliffwood Avenue,10304,Cliffwood Avenue,Staten Island
75 4 Corners Road,10304,Four Corners Road,Staten Island
4 Minna Street,10304,Minna Street,Staten Island
131 Roff Street,10304,Roff Street,Staten Island
221 Benedict Road,10304,Benedict Road,Staten Island
220 Douglas Road,10304,Douglas Road,Staten Island
12 Irving Place,10304,Irving Place,Staten Island
29 Annfield Ct,10304,Annfield Court,Staten Island
254 Flagg Place,10304,Flagg Place,Staten Island
7 Norwood Ct,10304,Norwood Court,Staten Island
1085 Todt Hill Road,10304,Todt Hill Road,Staten Island
106 Overlook Avenue,10304,Overlook Avenue,Staten Island
73 Irving Place,10304,Irving Place,Staten Island
690 N Railroad Avenue,10304,North Railroad Avenue,Staten Island
190 Vanderbilt Avenue,10304,Vanderbilt Avenue,Staten Island
29 Douglas Road,10304,Douglas Road,Staten Island
65 Jenna Lane,10304,Jenna Lane,Staten Island
57 Skyline Drive,10304,Skyline Drive,Staten Island
81 Park Hill Ct,10304,Park Hill Court,Staten Island
45 E Loop Road,10304,East Loop Road,Staten Island
419 Britton Avenue,10304,Britton Avenue,Staten Island
14 Long Pond Lane,10304,Long Pond Lane,Staten Island
89 Nixon Avenue,10304,Nixon Avenue,Staten Island
222 Gordon Street,10304,Gordon Street,Staten Island
23 Jackson Street,10304,Jackson Street,Staten Island
101 Dalemere Road,10304,Dalemere Road,Staten Island
173 Wright Street,10304,Wright Street,Staten Island
80 Park Hill Cir,10304,Park Hill Circle,Staten Island
37 Douglas Road,10304,Douglas Road,Staten Island
115 Rome Avenue,10304,Rome Avenue,Staten Island
450 Front Street,10304,Front Street,Staten Island
730 Bay Street,10304,Bay Street,Staten Island
91 Alter Avenue,10304,Alter Avenue,Staten Island
64 Baltic Avenue,10304,Baltic Avenue,Staten Island
233 Tompkins Avenue.,10304,Tompkins Avenue,Staten Island
30 Stonegate Drive #1,10304,Stonegate Drive,Staten Island
80 Brewster Street,10304,Brewster Street,Staten Island
18 Vanderbilt Avenue,10304,Vanderbilt Avenue,Staten Island
"Parking Lot, 875 Morrison Avenue #3M",10473,Morrison Avenue,Bronx
246 Newman Avenue,10473,Newman Avenue,Bronx
1860 Story Avenue # 36-b,10473,Story Avenue,Bronx
936 Taylor Avenue,10473,Taylor Avenue,Bronx
815 Havemeyer Avenue,10473,Havemeyer Avenue,Bronx
401 Harding Park,10473,Harding Park,Bronx
135 Sunset Boulevard,10473,Sunset Boulevard,Bronx
111 Sunset Boulevard,10473,Sunset Boulevard,Bronx
790 Olmstead Avenue,10473,Olmstead Avenue,Bronx
262 Zerega Avenue,10473,Zerega Avenue,Bronx
2225 Seward Avenue,10473,Seward Avenue,Bronx
941 Croes Avenue,10473,Croes Avenue,Bronx
1604 Harding Park,10473,Harding Park,Bronx
431 Street Lawrence Avenue,10473,Saint Lawrence Avenue,Bronx
880 Boynton Avenue #18F,10473,Boynton Avenue,Bronx
448 Turneur Avenue,10473,Turneur Avenue,Bronx
933 Fteley Avenue,10473,Fteley Avenue,Bronx
170-174 Mermaid Lane #270,10473,Mermaid Lane,Bronx
266 Soundview Avenue,10473,Soundview Avenue,Bronx
2249 Seward Avenue,10473,Seward Avenue,Bronx
902 Harding Park,10473,Harding Park,Bronx
112 Sunset Boulevard,10473,Sunset Boulevard,Bronx
920 Harding Park,10473,Harding Park,Bronx
405 Turneur Avenue,10473,Turneur Avenue,Bronx
943 Croes Avenue,10473,Croes Avenue,Bronx
1102 Harding Park,10473,Harding Park,Bronx
1524 Harding Park,10473,Harding Park,Bronx
1350 Ocean Parkway #5G,11230,Ocean Parkway,Brooklyn
1801 Ocean Avenue #4A,11230,Ocean Avenue,Brooklyn
1275 E 5th Street #6A,11230,East 5th Street,Brooklyn
1348 E 7th Street,11230,East 7th Street,Brooklyn
1075 Ocean Parkway #1C,11230,Ocean Parkway,Brooklyn
729 E 18th Street,11230,East 18th Street,Brooklyn
275 Webster Avenue #6G,11230,Webster Avenue,Brooklyn
1293 E 5th Street #6B,11230,East 5th Street,Brooklyn
1322 E 14th Street #4B,11230,East 14th Street,Brooklyn
1455 E 15th Street,11230,East 15th Street,Brooklyn
941 Newkirk Avenue,11230,Newkirk Avenue,Brooklyn
1558 E 9th Street,11230,East 9th Street,Brooklyn
1305 Elm Avenue,11230,Elm Avenue,Brooklyn
1680 Ocean Avenue #5L,11230,Ocean Avenue,Brooklyn
1119 Ocean Parkway #1B,11230,Ocean Parkway,Brooklyn
1429 Avenue H,11230,Avenue H,Brooklyn
2068 Ocean Avenue #2B,11230,Ocean Avenue,Brooklyn
345 Webster Avenue #3M,11230,Webster Avenue,Brooklyn
618 Avenue H,11230,Avenue H,Brooklyn
1250 Ocean Parkway #3J,11230,Ocean Parkway,Brooklyn
702 Ocean Parkway #1A,11230,Ocean Parkway,Brooklyn
1401 Ocean Avenue #8J,11230,Ocean Avenue,Brooklyn
1235 E 10th Street,11230,East 10th Street,Brooklyn
906 East 16th Street,11230,East 16th Street,Brooklyn
1319 Newkirk Avenue,11230,Newkirk Avenue,Brooklyn
1360 Ocean Avenue #2L,11230,Ocean Avenue,Brooklyn
1250 Ocean Parkway #2C,11230,Ocean Parkway,Brooklyn
275 Webster Avenue #5A,11230,Webster Avenue,Brooklyn
800 E 17th Street #4A,11230,East 17th Street,Brooklyn
275 Webster Avenue #1B,11230,Webster Avenue,Brooklyn
2025 Ocean Avenue #6A,11230,Ocean Avenue,Brooklyn
16 Dekoven Ct,11230,Dekoven Court,Brooklyn
733 Ocean Parkway #7C,11230,Ocean Parkway,Brooklyn
800 Grand Concourse #2J,10451,Grand Concourse,Bronx
828 Gerard Avenue #5F,10451,Gerard Avenue,Bronx
784 Elton Avenue,10451,Elton Avenue,Bronx
1020 Grand Concourse #14D,10451,Grand Concourse,Bronx
800 Grand Concourse,10451,Grand Concourse,Bronx
828 Gerard Avenue #4G,10451,Gerard Avenue,Bronx
776A Brook Avenue #33A,10451,Brook Avenue,Bronx
837 Washington Avenue #4A,10451,Washington Avenue,Bronx
307 E 162nd Street,10451,East 162nd Street,Bronx
800 Grand Concourse #3R,10451,Grand Concourse,Bronx
456 Van Name Avenue,10303,Van Name Avenue,Staten Island
366 Union Avenue #4,10303,Union Avenue,Staten Island
290 Lake Avenue,10303,Lake Avenue,Staten Island
3100 Richmond Terrace,10303,Richmond Terrace,Staten Island
16 Renfrew Place,10303,Renfrew Place,Staten Island
263 South Avenue,10303,South Avenue,Staten Island
79 Benjamin Drive,10303,Benjamin Drive,Staten Island
2701 Goethals Road N D7,10303,Goethals Road North,Staten Island
72 Holland Avenue,10303,Holland Avenue,Staten Island
92 Arlington Place,10303,Arlington Place,Staten Island
42 Post Lane,10303,Post Lane,Staten Island
334 Harbor Road,10303,Harbor Road,Staten Island
87 Murdock Place,10303,Murdock Place,Staten Island
181 Morningstar Road,10303,Morningstar Road,Staten Island
142 Dixon Avenue,10303,Dixon Avenue,Staten Island
2806 Richmond Terrace,10303,Richmond Terrace,Staten Island
339 Union Avenue #41,10303,Union Avenue,Staten Island
13 Lake Avenue,10303,Lake Avenue,Staten Island
18 Richmond Ct,10303,Richmond Court,Staten Island
402 Grandview Avenue,10303,Grandview Avenue,Staten Island
19 Heusden Street,10303,Heusden Street,Staten Island
15 Eunice Place,10303,Eunice Place,Staten Island
28 Monsey Place,10303,Monsey Place,Staten Island
40 Post Lane,10303,Post Lane,Staten Island
73 Westbrook Avenue,10303,Westbrook Avenue,Staten Island
34-41 85th Street #1B,11372,85th Street,Queens
35-45 81st Street E1,11372,81st Street,Queens
33-24 Junction Boulevard,11372,Junction Boulevard,Queens
34-41 85th Street #3A,11372,85th Street,Queens
33-05 92nd Street #1B,11372,92nd Street,Queens
33-05 92nd Street #1C,11372,92nd Street,Queens
35-31 85th Street,11372,Roosevelt Terrace Co-Op Apt,Queens
34-51 74th Street,11372,74th Street,Queens
3531 85th Street Apt 2M,11372,85th Street,Queens
37-30 83rd Street #4E,11372,83rd Street,Queens
3730 83rd Street Apt 2H,11372,83rd Street,Queens
3535 82nd Street Apt 24,11372,82nd Street,Queens
3442 80th Street Apt 32,11372,80th Street,Queens
34-21 83rd Street,11372,83rd Street,Queens
91-10 34th Avenue #5J,11372,34th Avenue,Queens
33-44 93rd Street #3C,11372,93rd Street,Queens
3730 73rd Street Apt 1H,11372,73rd Street,Queens
"The Belvedere, 84-12 35th Avenue #4C",11372,35th Avenue,Queens
3720 81st Street Apt 2E,11372,81st Street,Queens
35-31 85th Street #6C,11372,85th Street,Queens
93-05 37th Avenue,11372,37th Avenue,Queens
"Berkeley Apartments, 35-25 77th Street",11372,Berkeley Apartments,Queens
3520 82nd Street Apt 41,11372,82nd Street,Queens
35-24 78th Street #67,11372,78th Street,Queens
37-21 80th Street #4A,11372,80th Street,Queens
3555 80th Street Apt 52,11372,80th Street,Queens
34-40 79th Street #1B,11372,79th Street,Queens
33-37 71st Street,11372,71st Street,Queens
3515 78th Street Apt 21,11372,78th Street,Queens
3556 77th Street Apt 41,11372,77th Street,Queens
9011 35th Avenue Apt 1F,11372,35th Avenue,Queens
35-51 85th Street #6F,11372,85th Street,Queens
3721 80th Street Apt 6B,11372,80th Street,Queens
35-38 75th Street #3C,11372,75th Street,Queens
3339 80th Street Apt 1,11372,80th Street,Queens
