LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.8841699,-73.8388387,3652 De Reimer Avenue,10466,Van Nest,house,3,2.37,2184.21,119000,Meyers Enterprise Realty Group,3652||40.8841699|-73.8388387,Bronx
40.6534433,-73.741373,241-49 148th Drive,11422,Jamaica,house,5,2.0,2184.21,269000,Gosen Properties Inc,241||40.6534433|-73.741373,Queens
40.7833546,-73.9499982,200 E 94th Street Apt 414,10128,Upper East Side,condo,2,2.0,1065.0,1650000,Douglas Elliman,200||40.7833546|-73.9499982,Manhattan
40.7363219,-74.0018035,214 W 11th Street,10014,West Village,house,5,4.0,3344.0,12950000,Compass,214||40.7363219|-74.0018035,Manhattan
40.736608,-73.9822819,250 E 21st Street #12B,10010,Flatiron District,condo,3,2.0,2223.0,5750000,Brown Harris Stevens,250|12b|40.736608|-73.9822819,Manhattan
40.66911,-73.789339,130-24 150th Street,11436,Jamaica,house,5,2.0,2184.21,250000,Sowae Corp,130||40.66911|-73.789339,Queens
40.6499031,-73.7354706,254-06 Craft Avenue #2,11422,Jamaica,condo,6,2.37,3384.0,950000,Charles Rutenberg Realty Inc,254|2|40.6499031|-73.7354706,Queens
40.5784263,-74.105437,192 Colfax Avenue,10306,New Dorp,house,3,2.0,1100.0,585000,Keller Williams Realty Empire,192||40.5784263|-74.105437,Staten Island
40.6282935,-74.0379695,8200 Narrows Avenue,11209,Bayridge,house,6,6.0,2184.21,8750000,Brown Harris Stevens Brooklyn Llc,8200||40.6282935|-74.0379695,
40.6239146,-73.9291226,1509 E 48th Street,11234,Flatlands,house,3,1.0,1316.0,595000,"Tom Marco Real Estate, Inc.",1509||40.6239146|-73.9291226,Brooklyn
40.7267732,-74.002538,195 Prince Street #1R,10012,Soho,condo,1,1.0,625.0,215000,Engel & Volkers Brownstone Brooklyn,195|1r|40.7267732|-74.002538,Manhattan
40.7986579,-73.9679035,218 W 103rd Street,10025,Upper West Side,house,1,1.0,621.0,950000,Built By Toll Brothers,218||40.7986579|-73.9679035,Manhattan
